file,tier_num,tier_name,label,time_start,time_end,duration_ms,f0_min_hz,f0_max_hz,f0_mean_hz,f0_mean_st,f0_inicio_hz,f0_inicio_st,f0_final_hz,f0_final_st,inflexion_f0_hz,inflexion_f0_st,inflexion_f0_pct,rango_f0_hz,rango_f0_st,rango_f0_pct,int_min_db,int_max_db,int_mean_db,int_inicio_db,int_final_db,inflexion_int_db,inflexion_int_pct,rango_int_db,rango_int_pct,f0_q1_hz,f0_q2_hz,f0_q3_hz,f0_q4_hz,q1_to_q2_pct,q2_to_q3_pct,q3_to_q4_pct,reajuste_f0_hz,reajuste_f0_st,reajuste_f0_pct,reajuste_int_db,reajuste_int_pct
muestra_1,1,i - words,por,0.300,0.500,0.2,211.8,257.2,226.3,93.86,251.8,95.72,213.0,92.82,-38.8,-2.90,-15.40,45.3,3.36,21.40,38.3,76.5,72.1,52.2,72.5,20.25,38.79,38.14,99.49,252.3,238.4,219.7,212.9,-5.50,-7.84,-3.08,0,0,0,0,0
muestra_1,1,i - words,qué,0.500,0.740,0.2,212.1,226.7,217.2,93.16,213.1,92.82,214.8,92.96,1.7,0.14,0.81,14.6,1.15,6.88,51.7,75.7,71.2,59.4,71.3,11.92,20.09,23.98,46.39,213.7,221.8,218.0,215.5,3.79,-1.70,-1.16,0.02,0.001,0.008,-13.10,-18.08
muestra_1,1,i - words,te,0.740,0.920,0.2,213.8,246.6,220.9,93.44,216.1,93.06,216.4,93.09,0.3,0.03,0.15,32.7,2.46,15.30,53.0,74.8,71.0,61.7,72.2,10.52,17.04,21.78,41.05,216.3,229.8,220.5,216.8,6.20,-4.02,-1.67,1.3,0.10,0.60,-9.57,-13.42
muestra_1,1,i - words,daría,0.920,1.280,0.4,205.8,216.9,211.4,92.69,214.0,92.90,207.2,92.34,-6.8,-0.56,-3.16,11.1,0.91,5.38,67.0,75.9,72.9,73.5,73.5,0.006,0.009,8.91,13.29,214.2,212.9,211.2,207.4,-0.58,-0.82,-1.77,-2.4,-0.19,-1.10,1.23,1.70
muestra_1,1,i - words,ese,1.280,1.530,0.2,198.4,234.8,207.8,92.39,208.3,92.43,200.0,91.72,-8.3,-0.71,-3.99,36.4,2.92,18.37,55.7,73.7,70.3,70.9,73.0,2.18,3.07,18.00,32.29,208.0,207.5,215.4,200.4,-0.23,3.78,-6.95,1.0,0.09,0.50,-2.60,-3.54
muestra_1,1,i - words,respeto,1.530,1.960,0.4,177.6,240.1,217.1,93.15,200.7,91.79,229.2,94.09,28.5,2.30,14.19,62.4,5.21,35.15,49.5,71.5,64.9,63.6,55.1,-8.55,-13.44,22.02,44.51,202.4,206.8,228.5,229.8,2.13,10.53,0.55,0.8,0.06,0.38,-9.41,-12.88
muestra_1,1,i - words,ese,1.960,2.160,0.2,138.6,229.1,183.5,90.24,184.5,90.33,191.7,90.99,7.1,0.66,3.87,90.6,8.71,65.36,51.8,68.5,61.9,58.6,65.9,7.27,12.41,16.71,32.25,184.8,152.5,203.3,193.4,-17.48,33.25,-4.87,-44.7,-3.75,-19.49,3.52,6.39
muestra_1,1,i - words,peligro,2.160,2.590,0.4,169.9,238.5,189.3,90.77,198.2,91.57,187.9,90.65,-10.2,-0.92,-5.17,68.6,5.87,40.36,45.5,67.7,61.5,54.5,58.3,3.79,6.96,22.24,48.89,199.8,189.7,181.3,186.5,-5.07,-4.40,2.84,6.5,0.57,3.37,-11.40,-17.31
muestra_1,1,i - words,que,2.590,2.740,0.1,170.0,297.9,209.1,92.50,173.6,89.28,180.5,89.95,6.9,0.67,3.95,127.9,9.71,75.20,47.7,61.2,57.8,51.0,60.0,9.01,17.65,13.44,28.18,174.1,270.7,211.0,180.6,55.53,-22.06,-14.40,-14.3,-1.37,-7.60,-7.24,-12.42
muestra_1,1,i - words,dices,2.740,3.100,0.4,90.1,180.0,143.8,86.02,178.2,89.73,94.9,78.82,-83.3,-10.90,-46.73,89.8,11.97,99.65,42.6,59.7,54.7,56.7,54.6,-2.08,-3.66,17.13,40.24,178.2,177.9,121.8,94.9,-0.15,-31.57,-22.03,-2.3,-0.22,-1.26,-3.39,-5.64
